"cluster","x","y"
1,16.223763,-52.647358
1,48.3686,-45.76731
1,-2.012509,-36.898155
1,5.8357935,-66.9912
1,34.909534,-52.93461
1,11.230924,-66.244965
1,12.599527,-80.81665
1,-11.31504,-64.56538
1,-1.7636107,-65.2596
0,34.352,68.943924
1,-2.7511356,-54.53416
1,-1.9195081,-74.70485
1,2.7076774,-59.844852
1,-12.687256,-57.75061
1,23.10208,-78.707924
1,11.514012,-83.67837
1,12.034072,-83.26938
1,-6.401261,-64.18671
0,77.65149,6.891201
1,-0.23613557,-72.40758
1,6.215211,-69.129486
1,-7.013939,-49.912533
1,13.097572,-74.92588
1,41.136982,-35.51211
1,0.3545241,-72.0007
1,4.9741735,-83.00749
1,12.501497,-79.78149
1,-22.773764,-65.315254
1,6.287603,-56.9084
1,39.984703,-29.153118
1,7.20532,-46.09762
0,38.00699,74.34844
1,-23.157322,-78.50984
1,-9.678553,-80.19671
1,20.686924,-67.84364
1,18.79469,-77.27585
0,73.640564,14.174871
1,-13.80147,-76.42584
2,81.39418,-21.240002
1,-7.9626102,-65.092064
1,-1.7508024,-68.4115
1,42.865307,-35.806538
1,15.849035,-57.257923
1,-16.065754,-51.546432
1,6.263205,-43.91212
1,-13.0656,-83.491005
1,14.513488,-65.72201
1,-7.017905,-67.34633
1,-6.6279254,-84.65328
1,5.3992047,-84.23342
1,14.407459,-67.4891
0,38.430313,75.38165
1,0.85367537,-43.666843
1,21.95944,-51.34689
1,2.5072103,-51.60505
1,0.31085145,-45.90972
1,0.62520343,-71.58208
2,75.93179,-18.181854
1,42.19986,-58.054783
1,-5.9359074,-83.05095
1,33.012672,-32.361458
1,22.52856,-66.50982
1,35.34166,-68.36659
1,9.764626,-49.695126
1,9.6740055,-42.78938
1,-11.724533,-63.409763
1,-4.6101723,-61.770096
0,78.952675,5.7701454
1,4.618373,-74.921394
1,7.5152817,-42.49341
2,76.44272,-10.525195
1,1.5149462,-73.54236
0,26.2701,53.98825
2,80.81021,-21.771614
1,19.454813,-66.542656
1,23.480047,-74.59978
2,84.22872,-24.960274
1,-2.9653735,-34.920372
1,28.035559,-78.924614
1,31.167482,-64.34409
1,-13.452873,-56.31844
1,-7.7152767,-80.46666
1,-22.004538,-68.799805
1,-0.09732035,-45.37756
1,-24.81811,-70.57079
1,21.543722,-65.20864
1,26.67167,-79.24158
1,18.236269,-47.54839
1,-10.4654255,-42.842808
2,84.997375,-21.726643
1,-10.6250105,-63.69547
1,11.707122,-79.52416
0,36.956417,-20.992651
0,62.48693,39.47278
1,43.784317,-70.19178
1,37.189537,-22.55929
0,44.214066,52.89276
1,24.91233,-58.197124
1,-23.276968,-70.81102
1,26.100355,-64.292564
1,8.256214,-44.895576
1,5.3777432,-60.84384
1,7.216095,-58.188026
1,-10.641493,-43.72375
1,6.090336,-82.40115
1,13.201718,-80.50789
1,7.7800374,-48.952698
1,-11.863948,-82.60224
1,41.481728,-60.098015
1,-6.4932055,-46.963413
1,20.1397,-51.7013
1,-14.724888,-83.230354
1,22.217463,-76.75662
1,-2.167145,-84.123955
1,8.020652,-45.895847
1,-20.294958,-78.50347
1,14.132081,-71.85982
1,-12.328004,-72.12515
1,17.305822,-77.68265
1,71.754135,16.282711
1,40.91797,-36.198895
1,-16.210585,-44.835377
1,-4.524546,-74.330376
1,2.9175732,-56.36324
1,26.719578,-79.36791
1,1.71464,-61.173126
1,-1.3465044,-82.74451
1,-10.507761,-42.92081
1,-10.3945055,-78.07939
1,-24.89571,-77.66887
1,-8.0353155,-64.7402
1,21.112741,-61.291096
1,-4.668982,-68.49285
1,17.827002,-72.65981
1,-5.614834,-46.67961
1,-1.9359275,-79.67704
1,1.3404384,-73.21264
0,42.310753,-30.822735
1,4.7473593,-61.819283
1,-23.892363,-78.137024
1,14.577773,-79.872856
1,17.67911,-51.90149
1,-1.5836447,-45.503635
1,8.67077,-33.67115
1,17.225756,-63.43272
0,45.582993,-34.063538
1,3.167309,-39.609047
1,12.082194,-78.92879
1,18.18812,-40.744194
1,-22.617678,-66.81199
2,79.84499,-22.513044
1,40.90906,-26.217674
1,37.366528,-23.753756
0,48.325047,-33.848747
1,-7.555465,-76.319496
1,15.034625,-49.030613
1,75.694374,8.264174
1,-15.278896,-82.41222
1,41.76586,-26.972221
1,30.360415,-71.35712
1,32.368538,-23.311634
1,-21.930779,-79.96134
1,-0.7600719,-72.82289
1,12.77647,-58.32955
1,40.126152,-34.315502
1,32.241302,-57.396515
1,-19.437029,-76.27888
2,75.46699,-15.059061
1,15.945183,-46.967667
1,51.053505,-50.067463
1,39.2597,-28.851723
0,32.88045,67.78484
0,55.267376,-25.93524
1,-22.468266,-69.30074
1,-7.4471345,-76.52753
1,-23.089865,-66.43679
1,50.37316,-53.451565
1,-6.7116785,-78.76002
1,-5.131023,-81.54709
1,-1.1172099,-83.991165
1,-6.2129707,-69.69541
1,-11.120874,-62.003136
1,-1.0446048,-74.2572
1,27.626436,-55.535454
1,-23.912329,-72.06652
0,78.27539,8.363555
1,-18.418083,-69.35656
1,47.478558,-46.43383
1,-13.313887,-61.435104
1,-0.23269905,-72.759544
1,-15.052155,-44.630524
0,61.72037,-28.311127
1,43.036083,-35.733036
1,-18.483818,-73.61635
